,1001
0.612,0.375
0.613,0.376
0.614,0.377
0.615,0.378
0.616,0.379
0.617,0.381
0.618,0.382
0.619,0.383
0.620,0.384
0.621,0.386
0.622,0.387
0.623,0.388
0.624,0.389
0.625,0.391
0.626,0.392
0.627,0.393
0.628,0.394
0.629,0.396
0.630,0.397
0.631,0.398
0.632,0.399
0.633,0.401
0.634,0.402
0.635,0.403
0.636,0.404
0.637,0.406
0.638,0.407
0.639,0.408
0.640,0.410
0.641,0.411
0.642,0.412
0.643,0.413
0.644,0.415
0.645,0.416
0.646,0.417
0.647,0.419
0.648,0.420
0.649,0.421
0.650,0.423
0.651,0.424
0.652,0.425
0.653,0.426
0.654,0.428
0.655,0.429
0.656,0.430
0.657,0.432
0.658,0.433
0.659,0.434
0.660,0.436
0.661,0.437
0.662,0.438
0.663,0.440
0.664,0.441
0.665,0.442
0.666,0.444
0.667,0.445
0.668,0.446
0.669,0.448
0.670,0.449
0.671,0.450
0.672,0.452
0.673,0.453
0.674,0.454
0.675,0.456
0.676,0.457
0.677,0.458
0.678,0.460
0.679,0.461
0.680,0.462
0.681,0.464
0.682,0.465
0.683,0.466
0.684,0.468
0.685,0.469
0.686,0.471
0.687,0.472
0.688,0.473
0.689,0.475
0.690,0.476
0.691,0.477
0.692,0.479
0.693,0.480
0.694,0.482
0.695,0.483
0.696,0.484
0.697,0.486
0.698,0.487
0.699,0.489
0.700,0.490
0.701,0.491
0.702,0.493
0.703,0.494
0.704,0.496
0.705,0.497
0.706,0.498
0.707,0.500
0.708,0.501
0.709,0.503
0.710,0.504
0.711,0.506
0.712,0.507
0.713,0.508
0.714,0.510
0.715,0.511
0.716,0.513
0.717,0.514
0.718,0.516
0.719,0.517
0.720,0.518
0.721,0.520
0.722,0.521
0.723,0.523
0.724,0.524
0.725,0.526
0.726,0.527
0.727,0.529
0.728,0.530
0.729,0.531
0.730,0.533
0.731,0.534
0.732,0.536
0.733,0.537
0.734,0.539
0.735,0.540
0.736,0.542
0.737,0.543
0.738,0.545
0.739,0.546
0.740,0.548
0.741,0.549
0.742,0.551
0.743,0.552
0.744,0.554
0.745,0.555
0.746,0.557
0.747,0.558
0.748,0.560
0.749,0.561
0.750,0.562
0.751,0.564
0.752,0.566
0.753,0.567
0.754,0.569
0.755,0.570
0.756,0.572
0.757,0.573
0.758,0.575
0.759,0.576
0.760,0.578
0.761,0.579
0.762,0.581
0.763,0.582
0.764,0.584
0.765,0.585
0.766,0.587
0.767,0.588
0.768,0.590
0.769,0.591
0.770,0.593
0.771,0.594
0.772,0.596
0.773,0.598
0.774,0.599
0.775,0.601
0.776,0.602
0.777,0.604
0.778,0.605
0.779,0.607
0.780,0.608
0.781,0.610
0.782,0.612
0.783,0.613
0.784,0.615
0.785,0.616
0.786,0.618
0.787,0.619
0.788,0.621
0.789,0.623
0.790,0.624
0.791,0.626
0.792,0.627
0.793,0.629
0.794,0.630
0.795,0.632
0.796,0.634
0.797,0.635
0.798,0.637
0.799,0.638
0.800,0.640
0.801,0.642
0.802,0.643
0.803,0.645
0.804,0.646
0.805,0.648
0.806,0.650
0.807,0.651
0.808,0.653
0.809,0.654
0.810,0.656
0.811,0.658
0.812,0.659
0.813,0.661
0.814,0.663
0.815,0.664
0.816,0.666
0.817,0.667
0.818,0.669
0.819,0.671
0.820,0.672
0.821,0.674
0.822,0.676
0.823,0.677
0.824,0.679
0.825,0.681
0.826,0.682
0.827,0.684
0.828,0.686
0.829,0.687
0.830,0.689
0.831,0.691
0.832,0.692
0.833,0.694
0.834,0.696
0.835,0.697
0.836,0.699
0.837,0.701
0.838,0.702
0.839,0.704
0.840,0.706
0.841,0.707
0.842,0.709
0.843,0.711
0.844,0.712
0.845,0.714
0.846,0.716
0.847,0.717
0.848,0.719
0.849,0.721
0.850,0.722
0.851,0.724
0.852,0.726
0.853,0.728
0.854,0.729
0.855,0.731
0.856,0.733
0.857,0.734
0.858,0.736
0.859,0.738
0.860,0.740
0.861,0.741
0.862,0.743
0.863,0.745
0.864,0.746
0.865,0.748
0.866,0.750
0.867,0.752
0.868,0.753
0.869,0.755
0.870,0.757
0.871,0.759
0.872,0.760
0.873,0.762
0.874,0.764
0.875,0.766
0.876,0.767
0.877,0.769
0.878,0.771
0.879,0.773
0.880,0.774
0.881,0.776
0.882,0.778
0.883,0.780
0.884,0.781
0.885,0.783
0.886,0.785
0.887,0.787
0.888,0.789
0.889,0.790
0.890,0.792
0.891,0.794
0.892,0.796
0.893,0.797
0.894,0.799
0.895,0.801
0.896,0.803
0.897,0.805
0.898,0.806
0.899,0.808
0.900,0.810
0.901,0.812
0.902,0.814
0.903,0.815
0.904,0.817
0.905,0.819
0.906,0.821
0.907,0.823
0.908,0.824
0.909,0.826
0.910,0.828
0.911,0.830
0.912,0.832
0.913,0.834
0.914,0.835
0.915,0.837
0.916,0.839
0.917,0.841
0.918,0.843
0.919,0.845
0.920,0.846
0.921,0.848
0.922,0.850
0.923,0.852
0.924,0.854
0.925,0.856
0.926,0.857
0.927,0.859
0.928,0.861
0.929,0.863
0.930,0.865
0.931,0.867
0.932,0.869
0.933,0.870
0.934,0.872
0.935,0.874
0.936,0.876
0.937,0.878
0.938,0.880
0.939,0.882
0.940,0.884
0.941,0.885
0.942,0.887
0.943,0.889
0.944,0.891
0.945,0.893
0.946,0.895
0.947,0.897
0.948,0.899
0.949,0.901
0.950,0.903
0.951,0.904
0.952,0.906
0.953,0.908
0.954,0.910
0.955,0.912
0.956,0.914
0.957,0.916
0.958,0.918
0.959,0.920
0.960,0.922
0.961,0.924
0.962,0.925
0.963,0.927
0.964,0.929
0.965,0.931
0.966,0.933
0.967,0.935
0.968,0.937
0.969,0.939
0.970,0.941
0.971,0.943
0.972,0.945
0.973,0.947
0.974,0.949
0.975,0.951
0.976,0.953
0.977,0.955
0.978,0.956
0.979,0.958
0.980,0.960
0.981,0.962
0.982,0.964
0.983,0.966
0.984,0.968
0.985,0.970
0.986,0.972
0.987,0.974
0.988,0.976
0.989,0.978
0.990,0.980
0.991,0.982
0.992,0.984
0.993,0.986
0.994,0.988
0.995,0.990
0.996,0.992
0.997,0.994
0.998,0.996
0.999,0.998
1.000,1.000
